,topmost,bottommost,left,right,above,below,normTop,normLeft,normBottom,normRight,wordWidth,wordHeight,wordArea,standardisedText,isTitle_heightBased,isTitle_hOCRBased,isSum,isProduct,isMathElement
INVOICE_117_157,INVOICE_117_157,97_1547_2021,,,,From_188_235,0.0714,0.0688,0.09,0.165,246,41,10086,CCCCCCC,True,False,False,False,False
Bill_117_234,INVOICE_117_157,97_1547_2021,,From_188_235,,Lisa_117_286,0.1064,0.0688,0.1182,0.0791,57,26,1482,Cccc,False,False,False,False,False
From_188_235,INVOICE_117_157,97_1547_2021,Bill_117_234,,INVOICE_117_157,"Montoya,_184_286",0.1068,0.1106,0.1182,0.1241,85,25,2125,Cccc,False,False,False,False,False
Lisa_117_286,INVOICE_117_157,97_1547_2021,,"Montoya,_184_286",Bill_117_234,5289_117_327,0.13,0.0688,0.14,0.0786,56,22,1232,Cccc,False,False,False,False,False
"Montoya,_184_286",INVOICE_117_157,97_1547_2021,Lisa_117_286,"Yates,_339_286",From_188_235,Morgan_201_327,0.13,0.1082,0.1427,0.1414,127,28,3556,Cccccccp,False,False,False,False,False
"Yates,_339_286",INVOICE_117_157,97_1547_2021,"Montoya,_184_286",Taylor_432_286,,Walks_323_327,0.13,0.1994,0.1418,0.1905,80,26,2080,Cccccp,False,False,False,False,False
Taylor_432_286,INVOICE_117_157,97_1547_2021,"Yates,_339_286",and_531_286,,East_438_327,0.13,0.2541,0.1427,0.2377,91,28,2548,Cccccc,False,False,False,False,False
and_531_286,INVOICE_117_157,97_1547_2021,Taylor_432_286,Wood_596_286,,"Melissa,_509_327",0.13,0.3124,0.14,0.2655,53,22,1166,ccc,False,False,False,False,False
Wood_596_286,INVOICE_117_157,97_1547_2021,and_531_286,,,KY_634_327,0.13,0.3506,0.14,0.31,86,22,1892,Cccc,False,False,False,False,False
5289_117_327,INVOICE_117_157,97_1547_2021,,Morgan_201_327,Lisa_117_286,325-285-0965_117_369,0.1486,0.0688,0.1586,0.0864,73,22,1606,dddd,False,False,False,False,False
Morgan_201_327,INVOICE_117_157,97_1547_2021,5289_117_327,Walks_323_327,"Montoya,_184_286",325-285-0965_117_369,0.1486,0.1182,0.1614,0.1409,109,28,3052,Cccccc,False,False,False,False,False
Walks_323_327,INVOICE_117_157,97_1547_2021,Morgan_201_327,,"Yates,_339_286",,0.1486,0.19,0.1586,0.1868,88,22,1936,Ccccc,False,False,False,False,False
",_421_344",INVOICE_117_157,97_1547_2021,,,,,0.1564,0.2476,0.1605,0.1936,5,9,45,p,False,False,False,False,False
East_438_327,INVOICE_117_157,97_1547_2021,,"Melissa,_509_327",Taylor_432_286,,0.1486,0.2576,0.1586,0.2273,62,22,1364,Cccc,False,False,False,False,False
"Melissa,_509_327",INVOICE_117_157,97_1547_2021,East_438_327,KY_634_327,and_531_286,,0.1486,0.2994,0.1605,0.2823,112,26,2912,Cccccccp,False,False,False,False,False
KY_634_327,INVOICE_117_157,97_1547_2021,"Melissa,_509_327",34561_682_327,Wood_596_286,,0.1486,0.3729,0.1586,0.3064,40,22,880,CC,False,False,False,False,False
34561_682_327,INVOICE_117_157,97_1547_2021,KY_634_327,,,,0.1486,0.4012,0.1586,0.3509,90,22,1980,ddddd,False,False,False,False,False
325-285-0965_117_369,INVOICE_117_157,97_1547_2021,,,Morgan_201_327,,0.1677,0.0688,0.1777,0.1509,215,22,4730,dddpdddpdddd,False,False,False,False,False
Bill_117_492,INVOICE_117_157,97_1547_2021,,To_188_493,,John_114_544,0.2236,0.0688,0.2355,0.0791,57,26,1482,Cccc,False,False,False,False,False
To_188_493,INVOICE_117_157,97_1547_2021,Bill_117_492,,,Lambert_194_544,0.2241,0.1106,0.2355,0.1032,39,25,975,Cc,False,False,False,False,False
John_114_544,INVOICE_117_157,97_1547_2021,,Lambert_194_544,Bill_117_492,1216_118_586,0.2473,0.0671,0.2573,0.0832,69,22,1518,Cccc,False,False,False,False,False
Lambert_194_544,INVOICE_117_157,97_1547_2021,John_114_544,,To_188_493,Suarez_200_586,0.2473,0.1141,0.2573,0.1436,122,22,2684,Ccccccc,False,False,False,False,False
",_325_561",INVOICE_117_157,97_1547_2021,,,,,0.255,0.1912,0.2591,0.15,5,9,45,p,False,False,False,False,False
Johnson_339_544,INVOICE_117_157,97_1547_2021,,LLC_471_544,,Tunnel_309_586,0.2473,0.1994,0.2573,0.2091,121,22,2662,Ccccccc,False,False,False,False,False
LLC_471_544,INVOICE_117_157,97_1547_2021,Johnson_339_544,,,333_488_586,0.2473,0.2771,0.2573,0.2391,55,22,1210,CCC,False,False,False,False,False
1216_118_586,INVOICE_117_157,97_1547_2021,,Suarez_200_586,John_114_544,South_117_627,0.2664,0.0694,0.2764,0.0868,73,22,1606,dddd,False,False,False,False,False
Suarez_200_586,INVOICE_117_157,97_1547_2021,1216_118_586,Tunnel_309_586,Lambert_194_544,+962778250152_117_669,0.2664,0.1176,0.2764,0.1359,99,22,2178,Cccccc,False,False,False,False,False
Tunnel_309_586,INVOICE_117_157,97_1547_2021,Suarez_200_586,Apt._415_586,",_325_561","Victoriachester,_216_627",0.2664,0.1818,0.2764,0.1845,97,22,2134,Cccccc,False,False,False,False,False
Apt._415_586,INVOICE_117_157,97_1547_2021,Tunnel_309_586,333_488_586,Johnson_339_544,GA_455_627,0.2664,0.2441,0.2791,0.2164,61,28,1708,Cccp,False,False,False,False,False
333_488_586,INVOICE_117_157,97_1547_2021,Apt._415_586,,LLC_471_544,GA_455_627,0.2664,0.2871,0.2764,0.2464,54,22,1188,ddd,False,False,False,False,False
",_552_603",INVOICE_117_157,97_1547_2021,,,,93458_508_627,0.2741,0.3247,0.2782,0.2532,5,9,45,p,False,False,False,False,False
South_117_627,INVOICE_117_157,97_1547_2021,,"Victoriachester,_216_627",1216_118_586,+962778250152_117_669,0.285,0.0688,0.295,0.0927,87,22,1914,Ccccc,False,False,False,False,False
"Victoriachester,_216_627",INVOICE_117_157,97_1547_2021,South_117_627,GA_455_627,Tunnel_309_586,+962778250152_117_669,0.285,0.1271,0.2968,0.2009,226,26,5876,Cccccccccccccccp,False,False,False,False,False
GA_455_627,INVOICE_117_157,97_1547_2021,"Victoriachester,_216_627",93458_508_627,Apt._415_586,,0.285,0.2676,0.295,0.2264,43,22,946,CC,False,False,False,False,False
93458_508_627,INVOICE_117_157,97_1547_2021,GA_455_627,,",_552_603",,0.285,0.2988,0.295,0.2732,93,22,2046,ddddd,False,False,False,False,False
+962778250152_117_669,INVOICE_117_157,97_1547_2021,,,Suarez_200_586,,0.3041,0.0688,0.3141,0.1627,241,22,5302,pdddddddddddd,False,False,False,False,False
Description_233_859,INVOICE_117_157,97_1547_2021,,,,blue_318_938,0.3905,0.1371,0.4055,0.1918,189,33,6237,Ccccccccccc,False,False,False,False,False
1421_118_938,INVOICE_117_157,97_1547_2021,,Pink_235_938,,,0.4264,0.0694,0.4382,0.09,80,26,2080,dddd,False,False,False,False,False
Pink_235_938,INVOICE_117_157,97_1547_2021,1421_118_938,blue_318_938,Description_233_859,,0.4264,0.1382,0.4382,0.1391,71,26,1846,Cccc,False,False,False,False,False
blue_318_938,INVOICE_117_157,97_1547_2021,Pink_235_938,felt_401_938,Description_233_859,,0.4264,0.1871,0.4382,0.1773,72,26,1872,cccc,False,False,False,False,False
felt_401_938,INVOICE_117_157,97_1547_2021,blue_318_938,craft_472_938,,,0.4264,0.2359,0.4382,0.2095,60,26,1560,cccc,False,False,False,False,False
craft_472_938,INVOICE_117_157,97_1547_2021,felt_401_938,trinket_559_938,,,0.4264,0.2776,0.4382,0.2491,76,26,1976,ccccc,False,False,False,False,False
trinket_559_938,INVOICE_117_157,97_1547_2021,craft_472_938,box_682_938,,,0.4264,0.3288,0.4382,0.305,112,26,2912,ccccccc,False,False,False,False,False
box_682_938,INVOICE_117_157,97_1547_2021,trinket_559_938,,,,0.4264,0.4012,0.4382,0.3373,60,26,1560,ccc,False,False,False,False,False
Terms_225_1587,INVOICE_117_157,97_1547_2021,,and_336_1586,,90_254_1688,0.7214,0.1324,0.7327,0.1477,100,25,2500,Ccccc,False,False,False,False,False
and_336_1586,INVOICE_117_157,97_1547_2021,Terms_225_1587,conditions_407_1586,,,0.7209,0.1976,0.7327,0.1805,61,26,1586,ccc,False,False,False,False,False
conditions_407_1586,INVOICE_117_157,97_1547_2021,and_336_1586,,,invoice_454_1688,0.7209,0.2394,0.7327,0.2632,172,26,4472,cccccccccc,False,False,False,False,False
Payment_117_1688,INVOICE_117_157,97_1547_2021,,90_254_1688,,,0.7673,0.0688,0.78,0.1118,129,28,3612,Ccccccc,False,False,False,False,False
90_254_1688,INVOICE_117_157,97_1547_2021,Payment_117_1688,days_300_1688,,,0.7673,0.1494,0.7773,0.1318,36,22,792,dd,False,False,False,False,False
days_300_1688,INVOICE_117_157,97_1547_2021,90_254_1688,after_375_1688,and_336_1586,,0.7673,0.1765,0.78,0.1659,65,28,1820,cccc,False,False,False,False,False
after_375_1688,INVOICE_117_157,97_1547_2021,days_300_1688,invoice_454_1688,,,0.7673,0.2206,0.7773,0.2027,71,22,1562,ccccc,False,False,False,False,False
invoice_454_1688,INVOICE_117_157,97_1547_2021,after_375_1688,date_565_1688,,,0.7673,0.2671,0.7773,0.2523,101,22,2222,ccccccc,False,False,False,False,False
date_565_1688,INVOICE_117_157,97_1547_2021,invoice_454_1688,,,,0.7673,0.3324,0.7773,0.2855,63,22,1386,cccc,False,False,False,False,False
Invoice:_1311_538,INVOICE_117_157,97_1547_2021,,#898146_1430_538,,date:_1309_580,0.2445,0.7712,0.2545,0.6455,109,22,2398,Cccccccp,False,False,False,False,False
#898146_1430_538,INVOICE_117_157,97_1547_2021,Invoice:_1311_538,,,06/24/2021_1390_579,0.2445,0.8412,0.2545,0.7091,130,22,2860,pdddddd,False,False,False,False,False
Invoice_1199_580,INVOICE_117_157,97_1547_2021,,date:_1309_580,,Due_1240_621,0.2636,0.7053,0.2736,0.5905,100,22,2200,Ccccccc,False,False,False,False,False
date:_1309_580,INVOICE_117_157,97_1547_2021,Invoice_1199_580,,Invoice:_1311_538,date:_1309_621,0.2636,0.77,0.2736,0.6273,71,22,1562,ccccp,False,False,False,False,False
06/24/2021_1390_579,INVOICE_117_157,97_1547_2021,,,#898146_1430_538,09/22/2021_1390_620,0.2632,0.8176,0.2745,0.7082,168,25,4200,ddpddpdddd,False,False,False,False,False
Due_1240_621,INVOICE_117_157,97_1547_2021,,date:_1309_621,Invoice_1199_580,,0.2823,0.7294,0.2923,0.5905,59,22,1298,Ccc,False,False,False,False,False
date:_1309_621,INVOICE_117_157,97_1547_2021,Due_1240_621,,date:_1309_580,,0.2823,0.77,0.2923,0.6273,71,22,1562,ccccp,False,False,False,False,False
09/22/2021_1390_620,INVOICE_117_157,97_1547_2021,,,06/24/2021_1390_579,,0.2818,0.8176,0.2932,0.7082,168,25,4200,ddpddpdddd,False,False,False,False,False
Qty_978_855,INVOICE_117_157,97_1547_2021,,,,2_999_938,0.3886,0.5753,0.4082,0.4723,61,43,2623,Ccc,True,True,False,False,False
Price_1196_859,INVOICE_117_157,97_1547_2021,,Total_1499_859,,2.46_1205_938,0.3905,0.7035,0.4027,0.5814,83,27,2241,Ccccc,False,False,False,False,False
Total_1499_859,INVOICE_117_157,97_1547_2021,Price_1196_859,,,4.92_1515_938,0.3905,0.8818,0.4027,0.7195,84,27,2268,Ccccc,False,False,False,False,False
2_999_938,INVOICE_117_157,97_1547_2021,,2.46_1205_938,Qty_978_855,,0.4264,0.5876,0.4382,0.4623,18,26,468,d,False,False,False,False,True
2.46_1205_938,INVOICE_117_157,97_1547_2021,2_999_938,4.92_1515_938,Price_1196_859,,0.4264,0.7088,0.4382,0.5795,70,26,1820,dpdd,False,False,False,False,True
4.92_1515_938,INVOICE_117_157,97_1547_2021,2.46_1205_938,,Total_1499_859,,0.4264,0.8912,0.4382,0.72,69,26,1794,dpdd,False,False,False,True,False
Subtotal_1194_1172,INVOICE_117_157,97_1547_2021,,,,5.4%_1257_1255,0.5327,0.7024,0.5523,0.6077,143,43,6149,Cccccccc,True,True,False,False,False
4.92_1515_1176,INVOICE_117_157,97_1547_2021,,,,0.27_1516_1255,0.5345,0.8912,0.5464,0.72,69,26,1794,dpdd,False,False,False,False,True
Sales_1086_1255,INVOICE_117_157,97_1547_2021,,Tax_1187_1256,,&_1151_1334,0.5705,0.6388,0.5823,0.5336,88,26,2288,Ccccc,False,False,False,False,False
Tax_1187_1256,INVOICE_117_157,97_1547_2021,Sales_1086_1255,,Subtotal_1194_1172,&_1151_1334,0.5709,0.6982,0.5823,0.565,56,25,1400,Ccc,False,False,False,False,False
5.4%_1257_1255,INVOICE_117_157,97_1547_2021,,0.27_1516_1255,Subtotal_1194_1172,Handling_1189_1334,0.5705,0.7394,0.5827,0.6082,81,27,2187,dpdp,False,False,False,False,False
0.27_1516_1255,INVOICE_117_157,97_1547_2021,5.4%_1257_1255,,4.92_1515_1176,5.65_1516_1334,0.5705,0.8918,0.5823,0.7209,70,26,1820,dpdd,False,False,False,False,True
Shipping_992_1334,INVOICE_117_157,97_1547_2021,,&_1151_1334,Sales_1086_1255,,0.6064,0.5835,0.6214,0.5177,147,33,4851,Cccccccc,False,False,False,False,False
&_1151_1334,INVOICE_117_157,97_1547_2021,Shipping_992_1334,Handling_1189_1334,Sales_1086_1255,Total_1176_1413,0.6064,0.6771,0.6182,0.5336,23,26,598,p,False,False,False,False,False
Handling_1189_1334,INVOICE_117_157,97_1547_2021,&_1151_1334,5.65_1516_1334,5.4%_1257_1255,Due_1274_1414,0.6064,0.6994,0.6214,0.6086,150,33,4950,Cccccccc,False,False,False,False,False
5.65_1516_1334,INVOICE_117_157,97_1547_2021,Handling_1189_1334,,0.27_1516_1255,10.84_1495_1413,0.6064,0.8918,0.6182,0.7205,69,26,1794,dpdd,False,False,False,False,True
Total_1176_1413,INVOICE_117_157,97_1547_2021,,Due_1274_1414,Handling_1189_1334,,0.6423,0.6918,0.6541,0.5727,84,26,2184,Ccccc,False,False,False,False,False
Due_1274_1414,INVOICE_117_157,97_1547_2021,Total_1176_1413,,Handling_1189_1334,,0.6427,0.7494,0.6541,0.6086,65,25,1625,Ccc,False,False,False,False,False
$_1462_1409,INVOICE_117_157,97_1547_2021,,,5.65_1516_1334,,0.6405,0.86,0.6559,0.6741,21,34,714,p,True,False,False,False,False
10.84_1495_1413,INVOICE_117_157,97_1547_2021,,,5.65_1516_1334,,0.6423,0.8794,0.6541,0.7205,90,26,2340,ddpdd,False,False,True,False,False
Please_1010_1586,INVOICE_117_157,97_1547_2021,,make_1128_1586,,,0.7209,0.5941,0.7327,0.5077,107,26,2782,Cccccc,False,False,False,False,False
make_1128_1586,INVOICE_117_157,97_1547_2021,Please_1010_1586,a_1226_1594,,,0.7209,0.6635,0.7327,0.5523,87,26,2262,cccc,False,False,False,False,False
a_1226_1594,INVOICE_117_157,97_1547_2021,make_1128_1586,,,,0.7245,0.7212,0.7327,0.565,17,18,306,c,False,False,False,False,False
payment_1254_1589,INVOICE_117_157,97_1547_2021,,to_1409_1589,,Name:_1277_1688,0.7223,0.7376,0.7359,0.6355,144,30,4320,ccccccc,False,False,False,False,False
to_1409_1589,INVOICE_117_157,97_1547_2021,payment_1254_1589,,,,0.7223,0.8288,0.7327,0.6559,34,23,782,cc,False,False,False,False,False
Beneficiary_1106_1688,INVOICE_117_157,97_1547_2021,,Name:_1277_1688,make_1128_1586,Account_1171_1730,0.7673,0.6506,0.78,0.5759,161,28,4508,Ccccccccccc,False,False,False,False,False
Name:_1277_1688,INVOICE_117_157,97_1547_2021,Beneficiary_1106_1688,Justin_1374_1688,,Number:_1302_1730,0.7673,0.7512,0.7773,0.6209,89,22,1958,Ccccp,False,False,False,False,False
Justin_1374_1688,INVOICE_117_157,97_1547_2021,Name:_1277_1688,Watson_1472_1688,,Number:_1302_1730,0.7673,0.8082,0.7773,0.6632,85,22,1870,Cccccc,False,False,False,False,False
Watson_1472_1688,INVOICE_117_157,97_1547_2021,Justin_1374_1688,,,63308297_1436_1730,0.7673,0.8659,0.7773,0.7191,110,22,2420,Cccccc,False,False,False,False,False
Beneficiary_1002_1730,INVOICE_117_157,97_1547_2021,,Account_1171_1730,,,0.7864,0.5894,0.7991,0.5286,161,28,4508,Ccccccccccc,False,False,False,False,False
Account_1171_1730,INVOICE_117_157,97_1547_2021,Beneficiary_1002_1730,Number:_1302_1730,Beneficiary_1106_1688,Bank_1223_1771,0.7864,0.6888,0.7964,0.5877,122,22,2684,Ccccccc,False,False,False,False,False
Number:_1302_1730,INVOICE_117_157,97_1547_2021,Account_1171_1730,63308297_1436_1730,Name:_1277_1688,Name_1304_1771,0.7864,0.7659,0.7964,0.6477,123,22,2706,Ccccccp,False,False,False,False,False
63308297_1436_1730,INVOICE_117_157,97_1547_2021,Number:_1302_1730,,Watson_1472_1688,Address:_1456_1771,0.7864,0.8447,0.7964,0.72,148,22,3256,dddddddd,False,False,False,False,False
Bank_1223_1771,INVOICE_117_157,97_1547_2021,,Name_1304_1771,Account_1171_1730,"Ward,_1206_1813",0.805,0.7194,0.815,0.5882,71,22,1562,Cccc,False,False,False,False,False
Name_1304_1771,INVOICE_117_157,97_1547_2021,Bank_1223_1771,and_1395_1771,Number:_1302_1730,Esparza_1302_1813,0.805,0.7671,0.815,0.6295,81,22,1782,Cccc,False,False,False,False,False
and_1395_1771,INVOICE_117_157,97_1547_2021,Name_1304_1771,Address:_1456_1771,Number:_1302_1730,and_1422_1813,0.805,0.8206,0.815,0.6582,53,22,1166,ccc,False,False,False,False,False
Address:_1456_1771,INVOICE_117_157,97_1547_2021,and_1395_1771,,63308297_1436_1730,Krause_1485_1813,0.805,0.8565,0.815,0.7195,127,22,2794,Cccccccp,False,False,False,False,False
"Ward,_1206_1813",INVOICE_117_157,97_1547_2021,,Esparza_1302_1813,Bank_1223_1771,Donna_1189_1855,0.8241,0.7094,0.8359,0.5864,84,26,2184,Ccccp,False,False,False,False,False
Esparza_1302_1813,INVOICE_117_157,97_1547_2021,"Ward,_1206_1813",and_1422_1813,Name_1304_1771,Trafficway_1296_1855,0.8241,0.7659,0.8368,0.6418,110,28,3080,Ccccccc,False,False,False,False,False
and_1422_1813,INVOICE_117_157,97_1547_2021,Esparza_1302_1813,Krause_1485_1813,and_1395_1771,Apt._1456_1855,0.8241,0.8365,0.8341,0.6705,53,22,1166,ccc,False,False,False,False,False
Krause_1485_1813,INVOICE_117_157,97_1547_2021,and_1422_1813,,Address:_1456_1771,944_1529_1855,0.8241,0.8735,0.8341,0.7195,98,22,2156,Cccccc,False,False,False,False,False
174_1125_1855,INVOICE_117_157,97_1547_2021,,Donna_1189_1855,,Bank_1142_1938,0.8432,0.6618,0.8532,0.5359,54,22,1188,ddd,False,False,False,False,False
Donna_1189_1855,INVOICE_117_157,97_1547_2021,174_1125_1855,Trafficway_1296_1855,"Ward,_1206_1813",Swift_1222_1938,0.8432,0.6994,0.8532,0.5841,96,22,2112,Ccccc,False,False,False,False,False
Trafficway_1296_1855,INVOICE_117_157,97_1547_2021,Donna_1189_1855,Apt._1456_1855,Esparza_1302_1813,"Shawnchester,_1208_1896",0.8432,0.7624,0.8559,0.6582,152,28,4256,Cccccccccc,False,False,False,False,False
Apt._1456_1855,INVOICE_117_157,97_1547_2021,Trafficway_1296_1855,944_1529_1855,and_1422_1813,MN_1433_1896,0.8432,0.8565,0.8559,0.6895,61,28,1708,Cccp,False,False,False,False,False
944_1529_1855,INVOICE_117_157,97_1547_2021,Apt._1456_1855,,Krause_1485_1813,44421_1491_1896,0.8432,0.8994,0.8532,0.7195,54,22,1188,ddd,False,False,False,False,False
"Shawnchester,_1208_1896",INVOICE_117_157,97_1547_2021,,MN_1433_1896,Trafficway_1296_1855,Code:_1313_1938,0.8618,0.7106,0.8736,0.6459,213,26,5538,Ccccccccccccp,False,False,False,False,False
MN_1433_1896,INVOICE_117_157,97_1547_2021,"Shawnchester,_1208_1896",44421_1491_1896,Apt._1456_1855,LOYD_1402_1938,0.8618,0.8429,0.8718,0.6736,49,22,1078,CC,False,False,False,False,False
44421_1491_1896,INVOICE_117_157,97_1547_2021,MN_1433_1896,,944_1529_1855,GB_1496_1938,0.8618,0.8771,0.8718,0.7191,91,22,2002,ddddd,False,False,False,False,False
