wordKey,topmost,bottommost,left,right,above,below,normTop,normLeft,normBottom,normRight,wordWidth,wordHeight,wordArea,standardisedText,isTitle_heightBased,isTitle_hOCRBased,isSum,isProduct,isMathElement
RILEY-RICHARDSON_129_108,RILEY-RICHARDSON_129_108,business!_335_1666,,,,,0.0491,0.0759,0.0632,0.2209,357,31,11067,CCCCCpCCCCCCCCCC,True,True,False,False,False
04/02/2020_126_167,RILEY-RICHARDSON_129_108,business!_335_1666,,,,,0.0759,0.0741,0.0877,0.1191,136,26,3536,ddpddpdddd,True,False,False,False,False
INVOICE_98_292,RILEY-RICHARDSON_129_108,business!_335_1666,,#528910_212_293,,Bill_119_379,0.1327,0.0576,0.1436,0.0918,104,24,2496,CCCCCCC,False,False,False,False,False
#528910_212_293,RILEY-RICHARDSON_129_108,business!_335_1666,INVOICE_98_292,,,,0.1332,0.1247,0.1436,0.1455,108,23,2484,pdddddd,False,False,False,False,False
Bill_119_379,RILEY-RICHARDSON_129_108,business!_335_1666,,To_154_380,,,0.1723,0.07,0.1795,0.0673,29,16,464,Cccc,False,False,False,False,False
To_154_380,RILEY-RICHARDSON_129_108,business!_335_1666,Bill_119_379,,,,0.1727,0.0906,0.1795,0.0791,20,15,300,Cc,False,False,False,False,False
Ship_874_378,RILEY-RICHARDSON_129_108,business!_335_1666,,,,Recipient_876_441,0.1718,0.5141,0.1814,0.4155,40,21,840,Cccc,False,False,False,False,False
To_921_380,RILEY-RICHARDSON_129_108,business!_335_1666,,,,,0.1727,0.5418,0.1795,0.4277,20,15,300,Cc,False,False,False,False,False
Customer_118_438,RILEY-RICHARDSON_129_108,business!_335_1666,,,To_154_380,Customer_118_509,0.1991,0.0694,0.2118,0.0927,86,28,2408,Cccccccc,True,False,False,False,False
Brian_390_443,RILEY-RICHARDSON_129_108,business!_335_1666,,Smith_445_442,,Roberts_390_467,0.2014,0.2294,0.2077,0.1977,45,14,630,Ccccc,False,False,False,False,False
Smith_445_442,RILEY-RICHARDSON_129_108,business!_335_1666,Brian_390_443,,,Ltd_469_467,0.2009,0.2618,0.2077,0.2241,48,15,720,Ccccc,False,False,False,False,False
Recipient_876_441,RILEY-RICHARDSON_129_108,business!_335_1666,,Joseph_1143_442,To_921_380,Address_874_504,0.2005,0.5153,0.2095,0.4377,87,20,1740,Ccccccccc,False,False,False,False,False
Joseph_1143_442,RILEY-RICHARDSON_129_108,business!_335_1666,Recipient_876_441,Morgan_1215_443,,Roberts_1144_467,0.2009,0.6724,0.2095,0.5473,61,19,1159,Cccccc,False,False,False,False,False
Morgan_1215_443,RILEY-RICHARDSON_129_108,business!_335_1666,Joseph_1143_442,,,Ltd_1224_467,0.2014,0.7147,0.2095,0.5827,67,18,1206,Cccccc,False,False,False,False,False
Roberts_390_467,RILEY-RICHARDSON_129_108,business!_335_1666,,Ltd_469_467,Brian_390_443,9844169_389_510,0.2123,0.2294,0.2191,0.2082,68,15,1020,Ccccccc,False,False,False,False,False
Ltd_469_467,RILEY-RICHARDSON_129_108,business!_335_1666,Roberts_390_467,Roberts_1144_467,Smith_445_442,,0.2123,0.2759,0.2191,0.2241,24,15,360,Ccc,False,False,False,False,False
Roberts_1144_467,RILEY-RICHARDSON_129_108,business!_335_1666,Ltd_469_467,Ltd_1224_467,Joseph_1143_442,4092_1143_510,0.2123,0.6729,0.2191,0.5514,69,15,1035,Ccccccc,False,False,False,False,False
Ltd_1224_467,RILEY-RICHARDSON_129_108,business!_335_1666,Roberts_1144_467,,Morgan_1215_443,Johnson_1191_509,0.2123,0.72,0.2191,0.5673,24,15,360,Ccc,False,False,False,False,False
Customer_118_509,RILEY-RICHARDSON_129_108,business!_335_1666,,ID#_213_509,,Address_117_550,0.2314,0.0694,0.2382,0.0927,86,15,1290,Cccccccc,False,False,False,False,False
ID#_213_509,RILEY-RICHARDSON_129_108,business!_335_1666,Customer_118_509,9844169_389_510,,,0.2314,0.1253,0.2382,0.1091,27,15,405,CCp,False,False,False,False,False
9844169_389_510,RILEY-RICHARDSON_129_108,business!_335_1666,ID#_213_509,,Roberts_390_467,900_389_551,0.2318,0.2288,0.2382,0.2077,68,14,952,ddddddd,False,False,False,False,False
Address_874_504,RILEY-RICHARDSON_129_108,business!_335_1666,,,Recipient_876_441,Phone_876_575,0.2291,0.5141,0.2427,0.4314,75,30,2250,Ccccccc,True,True,False,False,False
4092_1143_510,RILEY-RICHARDSON_129_108,business!_335_1666,,,Roberts_1144_467,North_1144_534,0.2318,0.6724,0.2382,0.5373,39,14,546,dddd,False,False,False,False,False
Johnson_1191_509,RILEY-RICHARDSON_129_108,business!_335_1666,,Brook_1278_509,Ltd_1224_467,"Yvonnetown,_1203_535",0.2314,0.7006,0.2391,0.5759,76,17,1292,Ccccccc,False,False,False,False,False
Brook_1278_509,RILEY-RICHARDSON_129_108,business!_335_1666,Johnson_1191_509,,,LA_1330_535,0.2314,0.7518,0.2382,0.605,53,15,795,Ccccc,False,False,False,False,False
